dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
10/07/2020,10,7,2020,307,0,Australia,AU,AUS,24992359,Oceania
9/07/2020,9,7,2020,175,0,Australia,AU,AUS,24992359,Oceania
8/07/2020,8,7,2020,147,0,Australia,AU,AUS,24992359,Oceania
7/07/2020,7,7,2020,189,0,Australia,AU,AUS,24992359,Oceania
6/07/2020,6,7,2020,113,0,Australia,AU,AUS,24992359,Oceania
5/07/2020,5,7,2020,90,0,Australia,AU,AUS,24992359,Oceania
4/07/2020,4,7,2020,105,0,Australia,AU,AUS,24992359,Oceania
3/07/2020,3,7,2020,59,0,Australia,AU,AUS,24992359,Oceania
2/07/2020,2,7,2020,84,0,Australia,AU,AUS,24992359,Oceania
1/07/2020,1,7,2020,86,0,Australia,AU,AUS,24992359,Oceania
30/06/2020,30,6,2020,63,0,Australia,AU,AUS,24992361,Oceania
29/06/2020,29,6,2020,81,0,Australia,AU,AUS,24992362,Oceania
28/06/2020,28,6,2020,50,0,Australia,AU,AUS,24992363,Oceania
27/06/2020,27,6,2020,42,0,Australia,AU,AUS,24992364,Oceania
26/06/2020,26,6,2020,33,0,Australia,AU,AUS,24992365,Oceania
25/06/2020,25,6,2020,37,0,Australia,AU,AUS,24992366,Oceania
24/06/2020,24,6,2020,29,0,Australia,AU,AUS,24992367,Oceania
23/06/2020,23,6,2020,21,0,Australia,AU,AUS,24992368,Oceania
22/06/2020,22,6,2020,17,0,Australia,AU,AUS,24992369,Oceania
21/06/2020,21,6,2020,25,0,Australia,AU,AUS,24992369,Oceania
20/06/2020,20,6,2020,21,0,Australia,AU,AUS,24992369,Oceania
19/06/2020,19,6,2020,20,0,Australia,AU,AUS,24992369,Oceania
18/06/2020,18,6,2020,21,0,Australia,AU,AUS,24992369,Oceania
17/06/2020,17,6,2020,22,0,Australia,AU,AUS,24992369,Oceania
16/06/2020,16,6,2020,11,0,Australia,AU,AUS,24992369,Oceania
15/06/2020,15,6,2020,15,0,Australia,AU,AUS,24992346,Oceania
14/06/2020,14,6,2020,18,0,Australia,AU,AUS,24992346,Oceania
13/06/2020,13,6,2020,12,0,Australia,AU,AUS,24992347,Oceania
12/06/2020,12,6,2020,9,0,Australia,AU,AUS,24992348,Oceania
11/06/2020,11,6,2020,9,0,Australia,AU,AUS,24992349,Oceania
10/06/2020,10,6,2020,7,0,Australia,AU,AUS,24992350,Oceania
9/06/2020,9,6,2020,2,0,Australia,AU,AUS,24992351,Oceania
8/06/2020,8,6,2020,5,0,Australia,AU,AUS,24992352,Oceania
7/06/2020,7,6,2020,6,0,Australia,AU,AUS,24992353,Oceania
6/06/2020,6,6,2020,2,0,Australia,AU,AUS,24992354,Oceania
5/06/2020,5,6,2020,11,0,Australia,AU,AUS,24992355,Oceania
4/06/2020,4,6,2020,10,0,Australia,AU,AUS,24992356,Oceania
3/06/2020,3,6,2020,8,0,Australia,AU,AUS,24992357,Oceania
2/06/2020,2,6,2020,17,0,Australia,AU,AUS,24992358,Oceania
1/06/2020,1,6,2020,8,0,Australia,AU,AUS,24992359,Oceania
31/05/2020,31,5,2020,13,0,Australia,AU,AUS,24992360,Oceania
30/05/2020,30,5,2020,10,0,Australia,AU,AUS,24992361,Oceania
29/05/2020,29,5,2020,24,0,Australia,AU,AUS,24992362,Oceania
28/05/2020,28,5,2020,11,0,Australia,AU,AUS,24992363,Oceania
27/05/2020,27,5,2020,11,0,Australia,AU,AUS,24992364,Oceania
26/05/2020,26,5,2020,15,0,Australia,AU,AUS,24992365,Oceania
25/05/2020,25,5,2020,12,0,Australia,AU,AUS,24992366,Oceania
24/05/2020,24,5,2020,4,0,Australia,AU,AUS,24992367,Oceania
23/05/2020,23,5,2020,12,0,Australia,AU,AUS,24992368,Oceania
22/05/2020,22,5,2020,15,0,Australia,AU,AUS,24992369,Oceania
21/05/2020,21,5,2020,6,0,Australia,AU,AUS,24992369,Oceania
20/05/2020,20,5,2020,13,0,Australia,AU,AUS,24992369,Oceania
19/05/2020,19,5,2020,9,0,Australia,AU,AUS,24992369,Oceania
18/05/2020,18,5,2020,11,0,Australia,AU,AUS,24992369,Oceania
17/05/2020,17,5,2020,7,0,Australia,AU,AUS,24992369,Oceania
16/05/2020,16,5,2020,20,0,Australia,AU,AUS,24992369,Oceania
15/05/2020,15,5,2020,28,0,Australia,AU,AUS,24992369,Oceania
14/05/2020,14,5,2020,13,0,Australia,AU,AUS,24992369,Oceania
13/05/2020,13,5,2020,13,0,Australia,AU,AUS,24992369,Oceania
12/05/2020,12,5,2020,16,0,Australia,AU,AUS,24992369,Oceania
11/05/2020,11,5,2020,8,0,Australia,AU,AUS,24992369,Oceania
10/05/2020,10,5,2020,14,0,Australia,AU,AUS,24992369,Oceania
9/05/2020,0,5,2020,15,0,Australia,AU,AUS,24992369,Oceania
8/05/2020,8,5,2020,17,0,Australia,AU,AUS,24992369,Oceania
7/05/2020,7,5,2020,20,1,Australia,AU,AUS,24992369,Oceania
6/05/2020,6,5,2020,26,1,Australia,AU,AUS,24992369,Oceania
5/05/2020,5,5,2020,26,0,Australia,AU,AUS,24992369,Oceania
4/05/2020,4,5,2020,24,2,Australia,AU,AUS,24992369,Oceania
3/05/2020,3,5,2020,18,0,Australia,AU,AUS,24992369,Oceania
2/05/2020,2,5,2020,16,1,Australia,AU,AUS,24992369,Oceania
1/05/2020,1,5,2020,12,2,Australia,AU,AUS,24992369,Oceania
30/04/2020,30,4,2020,8,2,Australia,AU,AUS,24992369,Oceania
29/04/2020,29,4,2020,14,4,Australia,AU,AUS,24992369,Oceania
28/04/2020,28,4,2020,11,1,Australia,AU,AUS,24992369,Oceania
27/04/2020,27,4,2020,7,2,Australia,AU,AUS,24992369,Oceania
26/04/2020,26,4,2020,19,2,Australia,AU,AUS,24992369,Oceania
25/04/2020,25,4,2020,18,4,Australia,AU,AUS,24992369,Oceania
24/04/2020,24,4,2020,17,1,Australia,AU,AUS,24992369,Oceania
23/04/2020,23,4,2020,8,0,Australia,AU,AUS,24992369,Oceania
22/04/2020,22,4,2020,7,3,Australia,AU,AUS,24992369,Oceania
21/04/2020,21,4,2020,22,1,Australia,AU,AUS,24992369,Oceania
20/04/2020,20,4,2020,13,1,Australia,AU,AUS,24992369,Oceania
19/04/2020,19,4,2020,42,2,Australia,AU,AUS,24992369,Oceania
18/04/2020,18,4,2020,42,4,Australia,AU,AUS,24992369,Oceania
17/04/2020,17,4,2020,47,0,Australia,AU,AUS,24992369,Oceania
16/04/2020,16,4,2020,30,2,Australia,AU,AUS,24992369,Oceania
15/04/2020,15,4,2020,34,0,Australia,AU,AUS,24992369,Oceania
14/04/2020,14,4,2020,49,0,Australia,AU,AUS,24992369,Oceania
13/04/2020,13,4,2020,41,4,Australia,AU,AUS,24992369,Oceania
12/04/2020,12,4,2020,22,3,Australia,AU,AUS,24992369,Oceania
11/04/2020,11,4,2020,88,2,Australia,AU,AUS,24992369,Oceania
10/04/2020,10,4,2020,106,2,Australia,AU,AUS,24992369,Oceania
9/04/2020,9,4,2020,85,5,Australia,AU,AUS,24992369,Oceania
8/04/2020,8,4,2020,105,3,Australia,AU,AUS,24992369,Oceania
7/04/2020,7,4,2020,119,6,Australia,AU,AUS,24992369,Oceania
6/04/2020,6,4,2020,107,2,Australia,AU,AUS,24992369,Oceania
5/04/2020,5,4,2020,141,4,Australia,AU,AUS,24992369,Oceania
4/04/2020,4,4,2020,194,7,Australia,AU,AUS,24992369,Oceania
3/04/2020,3,4,2020,222,2,Australia,AU,AUS,24992369,Oceania
2/04/2020,2,4,2020,272,1,Australia,AU,AUS,24992369,Oceania
1/04/2020,1,4,2020,303,1,Australia,AU,AUS,24992369,Oceania
31/03/2020,31,3,2020,311,3,Australia,AU,AUS,24992369,Oceania
30/03/2020,30,3,2020,266,2,Australia,AU,AUS,24992369,Oceania
29/03/2020,29,3,2020,344,1,Australia,AU,AUS,24992369,Oceania
28/03/2020,28,3,2020,460,0,Australia,AU,AUS,24992369,Oceania
27/03/2020,27,3,2020,370,2,Australia,AU,AUS,24992369,Oceania
26/03/2020,26,3,2020,378,3,Australia,AU,AUS,24992369,Oceania
25/03/2020,25,3,2020,286,1,Australia,AU,AUS,24992369,Oceania
24/03/2020,24,3,2020,430,0,Australia,AU,AUS,24992369,Oceania
23/03/2020,23,3,2020,362,0,Australia,AU,AUS,24992369,Oceania
22/03/2020,22,3,2020,281,0,Australia,AU,AUS,24992369,Oceania
21/03/2020,21,3,2020,197,1,Australia,AU,AUS,24992369,Oceania
20/03/2020,20,3,2020,167,0,Australia,AU,AUS,24992369,Oceania
19/03/2020,19,3,2020,144,1,Australia,AU,AUS,24992369,Oceania
18/03/2020,18,3,2020,113,0,Australia,AU,AUS,24992369,Oceania
17/03/2020,17,3,2020,85,0,Australia,AU,AUS,24992369,Oceania
16/03/2020,16,3,2020,78,2,Australia,AU,AUS,24992369,Oceania
15/03/2020,15,3,2020,40,0,Australia,AU,AUS,24992369,Oceania
14/03/2020,14,3,2020,51,0,Australia,AU,AUS,24992369,Oceania
13/03/2020,13,3,2020,42,0,Australia,AU,AUS,24992369,Oceania
12/03/2020,12,3,2020,29,0,Australia,AU,AUS,24992369,Oceania
11/03/2020,11,3,2020,15,0,Australia,AU,AUS,24992369,Oceania
10/03/2020,10,3,2020,20,0,Australia,AU,AUS,24992369,Oceania
9/03/2020,9,3,2020,12,0,Australia,AU,AUS,24992369,Oceania
8/03/2020,8,3,2020,7,1,Australia,AU,AUS,24992369,Oceania
7/03/2020,7,3,2020,10,0,Australia,AU,AUS,24992369,Oceania
6/03/2020,6,3,2020,6,0,Australia,AU,AUS,24992369,Oceania
5/03/2020,5,3,2020,5,1,Australia,AU,AUS,24992369,Oceania
4/03/2020,4,3,2020,11,0,Australia,AU,AUS,24992369,Oceania
3/03/2020,3,3,2020,8,0,Australia,AU,AUS,24992369,Oceania
2/03/2020,2,3,2020,4,0,Australia,AU,AUS,24992369,Oceania
1/03/2020,1,3,2020,3,1,Australia,AU,AUS,24992369,Oceania
29/02/2020,29,2,2020,1,0,Australia,AU,AUS,24992369,Oceania
28/02/2020,28,2,2020,2,0,Australia,AU,AUS,24992369,Oceania
27/02/2020,27,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
26/02/2020,26,2,2020,1,0,Australia,AU,AUS,24992369,Oceania
25/02/2020,25,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
24/02/2020,24,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
23/02/2020,23,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
22/02/2020,22,2,2020,1,0,Australia,AU,AUS,24992369,Oceania
21/02/2020,21,2,2020,4,0,Australia,AU,AUS,24992369,Oceania
20/02/2020,20,2,2020,2,0,Australia,AU,AUS,24992369,Oceania
19/02/2020,19,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
18/02/2020,18,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
17/02/2020,17,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
16/02/2020,16,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
15/02/2020,15,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
14/02/2020,14,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
13/02/2020,13,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
12/02/2020,12,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
11/02/2020,11,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
10/02/2020,10,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
9/02/2020,9,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
8/02/2020,8,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
7/02/2020,7,2,2020,1,0,Australia,AU,AUS,24992369,Oceania
6/02/2020,6,2,2020,1,0,Australia,AU,AUS,24992369,Oceania
5/02/2020,5,2,2020,1,0,Australia,AU,AUS,24992369,Oceania
4/02/2020,4,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
3/02/2020,3,2,2020,0,0,Australia,AU,AUS,24992369,Oceania
2/02/2020,2,2,2020,2,0,Australia,AU,AUS,24992369,Oceania
1/02/2020,1,2,2020,1,0,Australia,AU,AUS,24992369,Oceania
31/01/2020,31,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
30/01/2020,30,1,2020,2,0,Australia,AU,AUS,24992369,Oceania
29/01/2020,29,1,2020,2,0,Australia,AU,AUS,24992369,Oceania
28/01/2020,28,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
27/01/2020,27,1,2020,1,0,Australia,AU,AUS,24992369,Oceania
26/01/2020,26,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
25/01/2020,25,1,2020,4,0,Australia,AU,AUS,24992369,Oceania
24/01/2020,24,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
23/01/2020,23,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
22/01/2020,22,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
21/01/2020,21,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
20/01/2020,20,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
19/01/2020,19,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
18/01/2020,18,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
17/01/2020,17,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
16/01/2020,16,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
15/01/2020,15,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
14/01/2020,14,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
13/01/2020,13,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
12/01/2020,12,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
11/01/2020,11,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
10/01/2020,10,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
9/01/2020,9,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
8/01/2020,8,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
7/01/2020,7,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
6/01/2020,6,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
5/01/2020,5,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
4/01/2020,4,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
3/01/2020,3,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
2/01/2020,2,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
1/01/2020,1,1,2020,0,0,Australia,AU,AUS,24992369,Oceania
31/12/2019,31,12,2019,0,0,Australia,AU,AUS,24992369,Oceania
